#Firmware: Tuareg V0.2 2020.10
event,fraction,Timestamp,time
Id,us,ms,ms
2.0,133.0,149320.0,149320.14
1.0,312.0,149326.0,149326.31
0.0,300.0,149327.0,149327.3
7.0,423.0,149337.0,149337.42
6.0,410.0,149338.0,149338.4
5.0,534.0,149348.0,149348.53
4.0,526.0,149349.0,149349.53
3.0,648.0,149359.0,149359.64
2.0,588.0,149364.0,149364.6
1.0,767.0,149370.0,149370.77
0.0,754.0,149371.0,149371.75
7.0,878.0,149381.0,149381.88
6.0,865.0,149382.0,149382.86
5.0,990.0,149392.0,149392.98
4.0,983.0,149393.0,149393.98
MARK 011
7.0,857.0,152404.0,152404.86
6.0,843.0,152405.0,152405.84
5.0,969.0,152415.0,152415.97
4.0,961.0,152416.0,152416.97
3.0,82.0,152427.0,152427.08
2.0,22.0,152432.0,152432.02
1.0,201.0,152438.0,152438.2
0.0,189.0,152439.0,152439.19
7.0,313.0,152449.0,152449.31
6.0,300.0,152450.0,152450.3
5.0,424.0,152460.0,152460.42
4.0,415.0,152461.0,152461.42
3.0,537.0,152471.0,152471.53
2.0,477.0,152476.0,152476.48
1.0,656.0,152482.0,152482.66
0.0,644.0,152483.0,152483.64
7.0,768.0,152493.0,152493.77
6.0,755.0,152494.0,152494.75
5.0,880.0,152504.0,152504.88
4.0,872.0,152505.0,152505.88
3.0,993.0,152515.0,152516.0
2.0,933.0,152520.0,152520.94
1.0,112.0,152527.0,152527.11
0.0,100.0,152528.0,152528.1
7.0,224.0,152538.0,152538.22
6.0,210.0,152539.0,152539.2
5.0,335.0,152549.0,152549.33
4.0,326.0,152550.0,152550.33
3.0,448.0,152560.0,152560.45
2.0,388.0,152565.0,152565.39
MARK 012
1.0,1.0,155638.0,155638.0
0.0,989.0,155639.0,155639.98
7.0,113.0,155650.0,155650.11
6.0,100.0,155651.0,155651.1
5.0,224.0,155661.0,155661.22
4.0,215.0,155662.0,155662.22
3.0,337.0,155672.0,155672.34
2.0,278.0,155677.0,155677.28
1.0,456.0,155683.0,155683.45
0.0,444.0,155684.0,155684.44
7.0,568.0,155694.0,155694.56
6.0,555.0,155695.0,155695.56
5.0,680.0,155705.0,155705.69
4.0,673.0,155706.0,155706.67
3.0,793.0,155716.0,155716.8
2.0,734.0,155721.0,155721.73
1.0,912.0,155727.0,155727.9
0.0,900.0,155728.0,155728.9
7.0,24.0,155739.0,155739.03
6.0,11.0,155740.0,155740.02
5.0,135.0,155750.0,155750.14
4.0,127.0,155751.0,155751.12
3.0,249.0,155761.0,155761.25
2.0,189.0,155766.0,155766.19
1.0,368.0,155772.0,155772.38
0.0,356.0,155773.0,155773.36
7.0,479.0,155783.0,155783.48
6.0,466.0,155784.0,155784.47
5.0,591.0,155794.0,155794.6
4.0,584.0,155795.0,155795.58
MARK 013
