#Firmware: Tuareg V0.2 2020.10
Coil1,Coil1,Injector1,Injector1,Phase valid,Phase Cyl1 Comp,CIS Lobe present,Crank Position,fraction,Timestamp,time
,,,,,,,,us,ms,ms
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,2756817.0,2756817.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,2756818.0,2756818.2
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,284.0,2756828.0,2756828.2
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,271.0,2756829.0,2756829.2
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,277.0,2756829.0,2756829.2
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,396.0,2756839.0,2756839.5
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,403.0,2756839.0,2756839.5
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,388.0,2756840.0,2756840.5
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,509.0,2756850.0,2756850.5
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,648.0,2756851.0,2756851.8
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,656.0,2756851.0,2756851.8
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,449.0,2756855.0,2756855.5
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,615.0,2756861.0,2756861.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,628.0,2756861.0,2756861.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637.0,2756861.0,2756861.8
MARK 006
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,173.0,2759940.0,2759940.2
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,160.0,2759941.0,2759941.2
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,166.0,2759941.0,2759941.2
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,285.0,2759951.0,2759951.2
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,292.0,2759951.0,2759951.2
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,277.0,2759952.0,2759952.2
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,398.0,2759962.0,2759962.5
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,535.0,2759963.0,2759963.5
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,543.0,2759963.0,2759963.5
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,339.0,2759967.0,2759967.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517.0,2759973.0,2759973.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524.0,2759973.0,2759973.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,532.0,2759973.0,2759973.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505.0,2759974.0,2759974.5
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,629.0,2759984.0,2759984.8
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,616.0,2759985.0,2759985.5
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,740.0,2759995.0,2759995.8
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,731.0,2759996.0,2759996.8
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,853.0,2760006.0,2760006.8
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2760007.0,2760007.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,2760007.0,2760007.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,794.0,2760011.0,2760011.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,963.0,2760017.0,2760018.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,972.0,2760017.0,2760018.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,984.0,2760017.0,2760018.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,960.0,2760018.0,2760019.0
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,84.0,2760029.0,2760029.0
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,71.0,2760030.0,2760030.0
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,78.0,2760030.0,2760030.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,196.0,2760040.0,2760040.2
MARK 007
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,629.0,2763107.0,2763107.8
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,621.0,2763108.0,2763108.5
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,743.0,2763118.0,2763118.8
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,867.0,2763119.0,2763119.8
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,874.0,2763119.0,2763119.8
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,683.0,2763123.0,2763123.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,862.0,2763129.0,2763129.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,872.0,2763129.0,2763129.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.0,2763129.0,2763130.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850.0,2763130.0,2763130.8
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,974.0,2763140.0,2763141.0
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,960.0,2763141.0,2763142.0
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,967.0,2763141.0,2763142.0
